SH688129,N东来
SH171129,20河北22
SH171185,20深圳34
SH171178,20山东31
SH171175,20山东28
SH171168,20四川71
SH171093,20吉林11
SH171090,20吉林08
SH171085,20新疆13
SH171081,20重庆05
SH171088,20江西12
SH171028,20湖南26
SH171018,20吉林05
SH171019,20吉林06
SH171010,20陕西13
SH171008,20辽宁09
SH171006,20河南20
SH171002,20河南16
SH171004,20河南18
SH171077,20贵州14
SH171072,20宁夏05
SH171065,20山东24
SH171066,20甘肃07
SH171060,20湖北22
SH171063,20山东22
SH171051,20深圳27
SH171049,20深圳25
SH171045,20河北18
SH171269,20新疆18
SH171243,20贵州22
SH171291,20江西17
SH171516,20吉林35
SH171511,20山西14
SH171402,20陕西43
SH171474,20吉林32
SH171398,20陕西39
SH171388,20陕西29
SH171204,20深圳53
SH171148,20广东49
SH171140,20广东41
SH171123,20宁夏07
SH171126,20北京13
SH171122,20内蒙14
SH171196,20深圳45
SH171190,20深圳39
SH171186,20深圳35
SH171037,20安徽09
SH171031,20云南14
SH171029,20湖南27
SH171334,20厦门11
SH171115,20内蒙07
SH171105,20青海11
SH171158,20广东59
SH171144,20广东45
SH171119,20内蒙11
SH171193,20深圳42
SH171192,20深圳41
SH171191,20深圳40
SH171188,20深圳37
SH171082,20重庆06
SH171021,20大连01
SH171014,20陕西17
SH171011,20陕西14
SH171044,20河北17
SH171485,20辽宁19
SH171307,20上海05
SH171301,20海南13
SH171446,20西藏07
SH171436,20湖北34
SH171384,20陕西25
SH171374,20福建31
SH171076,20江苏08
SH171146,20广东47
SH171442,20湖北40
SH171472,20吉林30
SH171141,20广东42
SH600970,中材国际
SZ200413,东旭B
SZ002504,弘高创意
SZ002277,友阿股份
SZ002319,*ST乐通
SZ000980,*ST众泰
SZ002200,ST云投
SH600010,包钢股份
SH600939,重庆建工
SH603963,大理药业
SH600790,轻纺城
SZ002356,*ST赫美
SH603693,江苏新能
SZ000809,铁岭新城
SH600165,新日恒力
SH600452,涪陵电力
SZ000573,粤宏远A
SH600021,上海电力
SH603599,广信股份
SH601860,紫金银行
SH600579,克劳斯
SH600808,马钢股份
SZ002219,*ST恒康
SH600084,ST中葡
SZ000926,福星股份
SH600169,太原重工
SZ000069,华侨城A
SH171391,20陕西32
SH171387,20陕西28
SH171381,20陕西22
SH171370,20福建27
SH171331,20厦门08
SH171327,20宁夏10
SH171312,20青岛15
SH171300,20海南12
SH171242,20贵州21
SH171239,20贵州18
SH171298,20海南10
SH171281,20湖北32
SH171283,20青海15
SH171391,20陕西32
SH171387,20陕西28
SH171381,20陕西22
SH171370,20福建27
SH171358,20甘肃12
SH171232,20广西23
SH171227,20广西18
SH171225,20吉林21
SH171312,20青岛15
SH171300,20海南12
SH171350,20北京20
SH171331,20厦门08
SH171327,20宁夏10
SH171507,20广西29
SH171453,20陕西47
SH171452,20宁夏13
SH171449,20西藏10
SH171443,20湖南46
SH171444,20西藏05
SH171491,20山东44
SH171488,20安徽21
SH171159,20广东60
SH171149,20广东50
SH171116,20内蒙08
SH171182,20深圳31
SH171164,20内蒙15
SH171162,20广东63
SH171130,20湖北24
SH171440,20湖北38
SH171437,20湖北35
SH171496,20湖北51
SH171489,20山东42
SH171479,20贵州39
SH171034,20海南08
SH171023,20湖南21
SH171017,20四川67
SH171016,20四川66
SH171009,20陕西12
SH171005,20河南19
SH171075,20江苏07
SH171074,20江苏06
SH171070,20宁夏03
SH171069,20宁夏02
SH171067,20甘肃08
SH171056,20湖北18
SH171046,20河北19
SH171421,20浙江21
SH171412,20安徽19
SH171407,20安徽14
SH171408,20安徽15
SH171478,20贵州38
SH171464,20龙江27
SH171506,20湖南49
SH171415,20浙江15
SH171378,20陕西19
SH171364,20福建21
SH171494,20湖北49
SH171484,20天津57
SH171349,20北京19
SH171325,20山东41
SH171216,20山西11
SH171207,20深圳56
SH171107,20青海13
SH171156,20广东57
SH171121,20内蒙13
SH171194,20深圳43
SH171080,20重庆04
SH171368,20福建25
SH171326,20宁夏09
SH171351,20江苏12
SH171306,20海南18
SH171176,20山东29
SH171128,20河北21
SH171490,20山东43
SH171411,20安徽18
SH171233,20广西24
SH171235,20广西26
SH171226,20吉林22
SH171280,20湖北31
SZ002072,ST凯瑞
SZ000029,深深房A
SZ200056,皇庭B
SZ000595,*ST宝实
SH600917,重庆燃气
SZ000709,河钢股份
SH601588,北辰实业
SH600243,*ST海华
SH600317,营口港
SZ002110,三钢闽光
SZ300296,利亚德
SZ300288,朗玛信息
SH601608,中信重工
SZ000709,河钢股份
SH601882,海天精工
SH600698,ST天雁
SH601106,中国一重
SH600759,洲际油气
SH600711,盛屯矿业
SZ000557,西部创业
SH600058,五矿发展
SZ000903,云内动力
SZ002535,*ST林重
SH601019,山东出版
SH600652,ST游久
SH600651,*ST飞乐
SH600469,风神股份
SH600687,*ST刚泰
SH600115,东方航空
SZ002310,东方园林
SH601933,永辉超市
SZ300618,寒锐钴业
SZ300679,电连技术
SZ300860,锋尚文化
SZ300808,久量股份
SZ002595,豪迈科技
SZ002389,航天彩虹
SH601698,中国卫通
SZ002028,思源电气
SZ300286,安科瑞
SZ200581,苏威孚B
SH688006,杭可科技
SH603458,勘设股份
SH600352,浙江龙盛
SH600182,S佳通
SH600167,联美控股
SZ300807,天迈科技
SH600062,华润双鹤
SZ002674,兴业科技
SZ002782,可立克
SH688377,迪威尔
SZ000504,ST生物
SH688299,长阳科技
SZ002156,通富微电
SH600585,海螺水泥
SZ002855,捷荣技术
SH603331,百达精工
SZ300493,润欣科技
SH603995,甬金股份
SZ300124,汇川技术
SZ300698,万马科技
SZ000666,经纬纺机
SH601211,国泰君安
SH600343,航天动力
SZ000881,中广核技
SH601900,南方传媒
SZ300613,富瀚微
SH600171,上海贝岭
SZ300839,博汇股份
SH600505,西昌电力
SH600483,福能股份
SZ000736,中交地产
SH600697,欧亚集团
SZ300446,ST乐凯
SZ002795,永和智控
SZ300364,中文在线
SZ002522,浙江众成
SZ300095,华伍股份
SH600168,武汉控股
SH603926,铁流股份
SH603817,海峡环保
SZ000601,韶能股份
SH688335,复洁环保
SZ002033,丽江股份
SZ002300,太阳电缆
SH600126,杭钢股份
SZ300067,安诺其
SH600232,金鹰股份
SH603696,安记食品
SH601958,金钼股份
SH600901,江苏租赁
SH600455,博通股份
SH600094,大名城
SH600080,ST金花
SZ300025,华星创业
SH600825,新华传媒
SZ002492,恒基达鑫
SZ002679,福建金森
SZ000600,建投能源
SZ002912,中新赛克
SZ000559,万向钱潮
SZ000639,西王食品
SZ002088,鲁阳节能
SZ000401,冀东水泥
SZ002958,青农商行
SZ000652,泰达股份
SZ000933,神火股份
SZ002466,天齐锂业
SH603059,倍加洁
SH603188,ST亚邦
SZ002284,亚太股份
SH601801,皖新传媒
SH603225,新凤鸣
SH600712,南宁百货
SH603716,塞力斯
SZ002478,常宝股份
SZ000678,襄阳轴承
SH900943,开开B股
SH601727,上海电气
SZ000498,山东路桥
SH600348,阳泉煤业
SH600800,天津磁卡
SH603323,苏农银行
SZ000899,赣能股份
SZ002860,星帅尔
SZ300711,广哈通信
SH600655,豫园股份
SH603036,如通股份
SH600836,*ST界龙
SZ000785,居然之家
SZ002662,京威股份
SZ000739,普洛药业
SH600629,华建集团
SH603328,依顿电子
SH603580,艾艾精工
SH600202,哈空调
SH600626,申达股份
SH688018,乐鑫科技
SH603566,普莱柯
SH601128,常熟银行
SH600583,海油工程
SH601598,中国外运
SZ000010,美丽生态
SH600707,彩虹股份
SZ000928,中钢国际
SH600683,京投发展
SZ300240,飞力达
SZ002178,延华智能
SZ000633,合金投资
SZ000732,泰禾集团
SZ300397,天和防务
SH600995,文山电力
SH603626,科森科技
SH600499,科达制造
SH600551,时代出版
SZ002170,芭田股份
SH600689,上海三毛
SZ000737,ST南风
SZ002327,富安娜
SZ300487,蓝晓科技
SZ002531,天顺风能
SH600811,东方集团
SZ300779,惠城环保
SZ002719,*ST麦趣
SZ002465,海格通信
SH600297,广汇汽车
SH688157,松井股份
SZ002159,三特索道
SH601218,吉鑫科技
SH600894,广日股份
SH600497,驰宏锌锗
SZ300616,尚品宅配
SH600163,中闽能源
SH600539,ST狮头
SH600172,黄河旋风
SZ000667,美好置业
SZ300632,光莆股份
SZ300575,中旗股份
SH600503,华丽家族
SZ000825,太钢不锈
SH603326,我乐家居
SH600399,ST抚钢
SZ000791,甘肃电投
SH600699,均胜电子
SZ002578,闽发铝业
SH600208,新湖中宝
SH600208,新湖中宝
SZ000761,本钢板材
SH605116,奥锐特
SZ002482,广田集团
SH601107,四川成渝
SH600128,弘业股份
SZ200020,深华发B
SH600433,冠豪高新
SZ002275,桂林三金
SH600392,盛和资源
SH600269,赣粤高速
SZ002621,美吉姆
SZ000429,粤高速A
SH600980,北矿科技
SH601616,广电电气
SZ300440,运达科技
SH603577,汇金通
SH600664,哈药股份
SH600260,凯乐科技
SH600801,华新水泥
SZ000516,国际医学
SH600370,三房巷
SZ002639,雪人股份
SH603886,元祖股份
SZ002818,富森美
SZ000905,厦门港务
SH601008,连云港
SH603578,三星新材
SH601619,嘉泽新能
SZ002771,真视通
SH600679,上海凤凰
SH601828,美凯龙
SZ000759,中百集团
SZ000830,鲁西化工
SH600767,ST运盛
SH603637,镇海股份
SZ000711,京蓝科技
SZ000692,惠天热电
SZ000150,宜华健康
SZ300202,聚龙股份
SZ002040,南京港
SH688311,盟升电子
SH600275,ST昌鱼
SH600857,宁波中百
SH600377,宁沪高速
SZ000965,天保基建
SH601155,新城控股
SH603701,德宏股份
SZ300486,东杰智能
SH600673,东阳光
SZ002623,亚玛顿
SZ002813,路畅科技
SZ300867,圣元环保
SH600439,瑞贝卡
SH603367,辰欣药业
SH603239,浙江仙通
SZ000812,陕西金叶
SZ002141,贤丰控股
SH600749,西藏旅游
SH688009,中国通号
SZ002357,富临运业
SH600190,锦州港
SZ000813,德展健康
SH600512,腾达建设
SH601600,中国铝业
SH600797,浙大网新
SH600423,ST柳化
SZ002642,荣联科技
SH600008,首创股份
SZ300596,利安隆
SZ200771,杭汽轮B
SH600735,新华锦
SH600737,中粮糖业
SH600320,振华重工
SZ300422,博世科
SH600101,明星电力
SZ002195,二三四五
SH600839,四川长虹
SZ300875,捷强装备
SZ003816,中国广核
SH600148,长春一东
SH603316,诚邦股份
SH603353,和顺石油
SH600035,楚天高速
SZ300677,英科医疗
SZ002701,奥瑞金
SZ000930,中粮科技
SZ002061,浙江交科
SZ002589,瑞康医药
SZ002201,九鼎新材
SH600098,广州发展
SH603618,杭电股份
SH603025,大豪科技
SZ000715,中兴商业
SH603619,中曼石油
SZ002753,永东股份
SZ000931,中关村
SH601118,海南橡胶
SH600615,丰华股份
SZ000538,云南白药
SH600033,福建高速
SH688090,瑞松科技
SZ002307,北新路桥
SZ300114,中航电测
SZ000776,广发证券
SH603388,元成股份
SZ002905,金逸影视
SH600259,广晟有色
SZ002186,全聚德
SZ000422,ST宜化
SZ000908,景峰医药
SH600873,梅花生物
SZ000627,天茂集团
SH600272,开开实业
SH600396,金山股份
SZ002669,康达新材
SZ002751,易尚展示
SH600429,三元股份
SH603290,斯达半导
SH603676,卫信康
SH603421,鼎信通讯
SH600215,*ST经开
SH603016,新宏泰
SZ002495,佳隆股份
SZ002523,天桥起重
SZ000002,万科A
SZ300084,海默科技
SH600897,厦门空港
SZ300250,初灵信息
SZ002212,南洋股份
SH600462,*ST九有
SZ200058,深赛格B
SZ002217,合力泰
SH603356,华菱精工
SZ200541,粤照明B
SH600736,苏州高新
SH688595,芯海科技
SH603585,苏利股份
SZ000767,漳泽电力
SZ000682,东方电子
SH603617,君禾股份
SZ300536,农尚环境
SZ002302,西部建设
SH688095,福昕软件
SZ002951,金时科技
SH603895,天永智能
SH603863,松炀资源
SH600710,苏美达
SH601111,中国国航
SZ002888,惠威科技
SH900915,中路B股
SZ000923,河钢资源
SZ300003,乐普医疗
SZ000848,承德露露
SH600149,ST坊展
SZ002474,榕基软件
SZ000419,通程控股
SZ002574,明牌珠宝
SH600177,雅戈尔
SH601577,长沙银行
SH603286,日盈电子
SH603023,威帝股份
SZ000659,珠海中富
SH601233,桐昆股份
SH603199,九华旅游
SZ000852,石化机械
SZ002301,齐心集团
SH601518,吉林高速
SH600319,ST亚星
SH603860,中公高科
SH603687,大胜达
SH601991,大唐发电
SZ300483,沃施股份
SH603858,步长制药
SH600141,兴发集团
SZ002802,洪汇新材
SZ002633,申科股份
SH600458,时代新材
SZ300260,新莱应材
SH603303,得邦照明
SZ000608,阳光股份
SH600743,华远地产
SH600645,中源协和
SH600118,中国卫星
SH600039,四川路桥
SH603978,深圳新星
SZ002330,得利斯
SH600819,耀皮玻璃
SH601985,中国核电
SH600517,国网英大
SZ002761,多喜爱
SZ300195,长荣股份
SH601929,吉视传媒
SH600231,凌钢股份
SZ000410,*ST沈机
SZ002155,湖南黄金
SH601827,三峰环境
SH600301,ST南化
SH600575,淮河能源
SH600004,白云机场
SH603800,道森股份
SZ002344,海宁皮城
SZ002472,双环传动
SZ300532,今天国际
SZ002429,兆驰股份
SZ002513,*ST蓝丰
SZ002388,新亚制程
SH600085,同仁堂
SZ002811,郑中设计
SH600566,济川药业
SZ300321,同大股份
SZ000651,格力电器
SZ200596,古井贡B
SZ000409,ST地矿
SZ300672,国科微
SH600569,安阳钢铁
SZ300428,四通新材
SH601898,中煤能源
SZ200152,山航B
SH600257,大湖股份
SZ000629,攀钢钒钛
SH603178,圣龙股份
SZ002627,宜昌交运
SZ000607,华媒控股
SZ000420,吉林化纤
SH601886,江河集团
SZ002445,*ST中南
SZ002413,雷科防务
SZ300755,华致酒行
SZ000801,四川九洲
SZ000883,湖北能源
SZ003008,开普检测
SH900940,大名城B
SZ000875,吉电股份
SZ002628,成都路桥
SZ001696,宗申动力
SH603908,牧高笛
SZ300308,中际旭创
SH600051,宁波联合
SH688178,万德斯
SZ300579,数字认证
SH601880,大连港
SH600222,太龙药业
SH603993,洛阳钼业
SH601226,华电重工
SZ002792,通宇通讯
SH600547,山东黄金
SH601808,中海油服
SH600029,南方航空
SH600724,宁波富达
SH601138,工业富联
SH603896,寿仙谷
SH600674,川投能源
SZ000338,潍柴动力
SZ002241,歌尔股份
SZ000900,现代投资
SZ002273,水晶光电
SZ002249,大洋电机
SZ002682,龙洲股份
SH603108,润达医疗
SZ000042,中洲控股
SZ000959,首钢股份
SZ002440,闰土股份
SZ002204,大连重工
SZ002017,东信和平
SZ000425,徐工机械
SZ000998,隆平高科
SZ300862,蓝盾光电
SZ002439,启明星辰
SH600999,招商证券
SZ002583,海能达
SZ000755,山西路桥
SZ000680,山推股份
SZ002117,东港股份
SZ000828,东莞控股
SH600386,北巴传媒
SZ002299,圣农发展
SH601068,中铝国际
SH600158,中体产业
SH600748,上实发展
SH601368,绿城水务
SZ000981,*ST银亿
SH688278,特宝生物
SZ000061,农产品
SZ300530,达志科技
SZ002828,贝肯能源
SZ002943,宇晶股份
SZ000859,国风塑业
SZ300565,科信技术
SZ002039,黔源电力
SZ002485,希努尔
SH601688,华泰证券
SZ000062,深圳华强
SH600764,中国海防
SZ002517,恺英网络
SZ002118,紫鑫药业
SZ000788,北大医药
SZ002032,苏泊尔
SH900922,三毛B股
SZ002358,森源电气
SH600879,航天电子
SZ002899,英派斯
SZ000738,航发控制
SZ002292,奥飞娱乐
SZ300467,迅游科技
SH601555,东吴证券
SZ002140,东华科技
SZ002287,奇正藏药
SH600572,康恩贝
SZ300634,彩讯股份
SH600368,五洲交通
SZ000948,南天信息
SH600784,鲁银投资
SZ000571,*ST大洲
SH600020,中原高速
SH603002,宏昌电子
SZ002491,通鼎互联
SH600992,贵绳股份
SH600755,厦门国贸
SH900913,国新B股
SH601001,大同煤业
SH600684,珠江实业
SZ000611,ST天首
SZ002581,未名医药
SH600777,新潮能源
SZ002004,华邦健康
SH600605,汇通能源
SZ000063,中兴通讯
SH900932,陆家B股
SH601718,际华集团
SH600488,天药股份
SZ000657,中钨高新
SH688218,江苏北人
SZ002921,联诚精密
SZ002387,维信诺
SH600235,民丰特纸
SH600526,菲达环保
SZ002820,桂发祥
SH603010,万盛股份
SZ000919,金陵药业
SH603378,亚士创能
SH600780,通宝能源
SH603861,白云电器
SH600277,亿利洁能
SH603979,金诚信
SZ002150,通润装备
SH600050,中国联通
SZ300472,新元科技
SZ002793,罗欣药业
SH600533,栖霞建设
SH603126,中材节能
SH601007,金陵饭店
SZ002313,日海智能
SZ002693,双成药业
SZ300816,艾可蓝
SH601330,绿色动力
SZ300391,康跃科技
SZ000983,西山煤电
SH600113,浙江东日
SZ200045,深纺织B
SH600385,ST金泰
SH600581,八一钢铁
SH600654,ST中安
SZ002095,生意宝
SZ002131,利欧股份
SZ002432,九安医疗
SZ200992,中鲁B
SH600155,华创阳安
SZ300858,科拓生物
SH600612,老凤祥
SZ300268,佳沃股份
SH601010,文峰股份
SH601699,潞安环能
SZ200505,京粮B
SH603111,康尼机电
SH600606,绿地控股
SZ002342,巨力索具
SH605178,时空科技
SH600558,大西洋
SZ000918,嘉凯城
SH600197,伊力特
SH600582,天地科技
SH600787,中储股份
SH600723,首商股份
SH600480,凌云股份
SZ002136,安纳达
SZ000902,新洋丰
SH603681,永冠新材
SZ000826,启迪环境
SH600110,诺德股份
SZ002763,汇洁股份
SH600111,北方稀土
SH600868,梅雁吉祥
SZ000100,TCL科技
SZ300127,银河磁体
SZ000970,中科三环
SZ200553,安道麦B
SH600703,三安光电
SZ002468,申通快递
SH600713,南京医药
SH603037,凯众股份
SZ002545,东方铁塔
SH603177,德创环保
SH601360,三六零
SH600166,福田汽车
SZ002892,科力尔
SZ002713,东易日盛
SZ002923,润都股份
SH603508,思维列控
SZ300180,华峰超纤
SZ200037,深南电B
SZ000753,漳州发展
SH600479,千金药业
SH600792,云煤能源
SH601005,重庆钢铁
SZ002806,华锋股份
SH603020,爱普股份
SZ000838,财信发展
SH600537,亿晶光电
SZ000413,东旭光电
SZ000888,峨眉山A
SH600249,两面针
SH603819,神力股份
SZ000952,广济药业
SH600892,*ST大晟
SH600133,东湖高新
SZ200725,京东方B
SZ002255,*ST海陆
SH600475,华光环能
SH603656,泰禾光电
SH600706,曲江文旅
SH600390,五矿资本
SZ000632,三木集团
SZ300398,飞凯材料
SH600266,城建发展
SZ300378,鼎捷软件
SZ002769,普路通
SH603186,华正新材
SZ000089,深圳机场
SH688168,安博通
SZ002521,齐峰新材
SZ000528,柳工
SH603955,大千生态
SH603958,哈森股份
SH600367,红星发展
SZ000795,英洛华
SZ000507,珠海港
SH600666,ST瑞德
SZ002080,中材科技
SH601595,上海电影
SH600557,康缘药业
SZ002573,清新环境
SZ000510,新金路
SH600592,龙溪股份
SZ002073,软控股份
SH601188,龙江交通
SH601899,紫金矿业
SH600022,山东钢铁
SZ300188,美亚柏科
SH600106,重庆路桥
SZ300665,飞鹿股份
SH603095,越剑智能
SH600498,烽火通信
SH603980,吉华集团
SZ002697,红旗连锁
SH603098,森特股份
SH600676,交运股份
SH600613,神奇制药
SZ002546,新联电子
SZ000935,四川双马
SH600463,空港股份
SZ002422,科伦药业
SH600837,海通证券
SH603633,徕木股份
SH601996,丰林集团
SH603818,曲美家居
SH600854,春兰股份
SZ002092,中泰化学
SH601199,江南水务
SZ000623,吉林敖东
SH600467,好当家
SH600783,鲁信创投
SZ000615,京汉股份
SZ000537,广宇发展
SH603595,东尼电子
SH600663,陆家嘴
SH601975,招商南油
SH600261,阳光照明
SH603300,华铁应急
SZ000960,锡业股份
SZ002665,首航高科
SZ002715,登云股份
SZ002005,*ST德豪
SZ002071,*ST长城
SH600969,郴电国际
SZ000589,贵州轮胎
SZ002458,益生股份
SH688600,皖仪科技
SH600125,铁龙物流
SH600589,广东榕泰
SH601326,秦港股份
SH603909,合诚股份
SZ002368,太极股份
SH600308,华泰股份
SZ002435,长江健康
SH603066,音飞储存
SH603161,科华控股
SH600381,青海春天
SH600435,北方导航
SZ002308,威创股份
SH600123,兰花科创
SH603389,*ST亚振
SH603567,珍宝岛
SZ002350,北京科锐
SZ000563,陕国投A
SH688981,中芯国际-U
SZ002322,理工环科
SH600159,大龙地产
SH900924,上工B股
SH600668,尖峰集团
SH900947,振华B股
SZ002722,金轮股份
SZ000506,中润资源
SH601700,风范股份
SH603803,瑞斯康达
SZ002297,博云新材
SH600192,长城电工
SH600997,开滦股份
SH600327,大东方
SH600007,中国国贸
SZ300371,汇中股份
SH600354,*ST敦种
SH600936,广西广电
SH603109,神驰机电
SH688069,德林海
SZ000430,张家界
SZ002374,丽鹏股份
SH603100,川仪股份
SZ002606,大连电瓷
SH600070,浙江富润
SZ002790,瑞尔特
SZ002526,山东矿机
SH600187,国中水务
SH603000,人民网
SH600143,金发科技
SZ002149,西部材料
SH603189,网达软件
SZ000565,渝三峡A
SZ002059,云南旅游
SZ300380,安硕信息
SH600744,华银电力
SH600180,瑞茂通
SH601515,东风股份
SH603797,联泰环保
SH600522,中天科技
SZ000546,金圆股份
SH603012,创力集团
SH601512,中新集团
SZ002746,仙坛股份
SH600023,浙能电力
SZ000978,桂林旅游
SZ002215,诺普信
SZ300201,海伦哲
SZ000999,华润三九
SZ002433,太安堂
SZ000982,*ST中绒
SZ002283,天润工业
SZ300865,大宏立
SZ002972,科安达
SH601999,出版传媒
SZ300165,天瑞仪器
SZ300007,汉威科技
SZ002625,光启技术
SH603890,春秋电子
SZ000988,华工科技
SZ000819,岳阳兴长
SH900914,锦投B股
SZ300756,中山金马
SH600727,鲁北化工
SZ002689,远大智能
SH603320,迪贝电气
SZ002256,*ST兆新
SH605001,威奥股份
SH601069,西部黄金
SZ002456,欧菲光
SH600866,星湖科技
SZ000797,中国武夷
SZ002116,中国海诚
SZ300468,四方精创
SZ000400,许继电气
SH600329,中新药业
SH600188,兖州煤业
SZ002988,豪美新材
SH600219,南山铝业
SZ002158,汉钟精机
SZ002452,长高集团
SZ300651,金陵体育
SZ000752,*ST西发
SZ002218,拓日新能
SZ002779,中坚科技
SZ000936,华西股份
SZ002810,山东赫达
SZ002180,纳思达
SH600990,四创电子
SH600690,海尔智家
SZ002561,徐家汇
SZ002785,万里石
SH600728,佳都科技
SH600331,宏达股份
SH603698,航天工程
SH600160,巨化股份
SH600817,ST宏盛
SH600978,*ST宜生
SH603387,基蛋生物
SZ002663,普邦股份
SZ002316,亚联发展
SZ000782,美达股份
SZ000586,汇源通信
SZ002093,国脉科技
SZ002016,世荣兆业
SH603876,鼎胜新材
SH600400,红豆股份
SZ002063,远光软件
SZ002416,爱施德
SH601002,晋亿实业
SZ002223,鱼跃医疗
SH603299,苏盐井神
SH600176,中国巨石
SH688199,久日新材
SZ300600,国瑞科技
SH600108,亚盛集团
SZ000630,铜陵有色
SZ002161,远望谷
SH600489,中金黄金
SZ002629,ST仁智
SZ002261,拓维信息
SZ000820,*ST节能
SZ000620,新华联
SH600756,浪潮软件
SH900917,海欣B股
SZ000722,湖南发展
SZ000540,中天金融
SZ002788,鹭燕医药
SZ300592,华凯创意
SZ000851,高鸿股份
SH600657,信达地产
SZ002087,新野纺织
SH600705,XD中航资
SZ002243,通产丽星
SZ000683,远兴能源
SH600076,康欣新材
SH900956,东贝B股
SZ002062,宏润建设
SZ002815,崇达技术
SZ002510,天汽模
SZ000685,中山公用
SZ000650,仁和药业
SZ300384,三联虹普
SZ000836,富通鑫茂
SZ002861,瀛通通讯
SZ002862,实丰文化
SZ000048,京基智农
SH600718,东软集团
SH603729,龙韵股份
SH600088,中视传媒
SH600776,东方通信
SH603568,伟明环保
SH600758,辽宁能源
SZ300078,思创医惠
SZ002498,汉缆股份
SH600478,科力远
SZ002745,木林森
SZ000166,申万宏源
SZ000637,茂化实华
SZ000962,东方钽业
SZ002038,双鹭药业
SZ002838,道恩股份
SH600567,山鹰纸业
SH600162,香江控股
SH601137,博威合金
SZ002822,中装建设
SZ002386,天原集团
SZ002882,金龙羽
SZ002324,普利特
SH603221,爱丽家居
SZ002138,顺络电子
SH600853,龙建股份
SH600644,乐山电力
SH600449,宁夏建材
SZ002209,达意隆
SH601088,中国神华
SZ000417,合肥百货
SZ002528,英飞拓
SH600052,浙江广厦
SZ000912,泸天化
SH600086,*ST金钰
SH603918,金桥信息
SH600097,开创国际
SZ002868,绿康生化
SZ002133,广宇集团
SZ002544,杰赛科技
SH600328,中盐化工
SH603269,海鸥股份
SH600312,平高电气
SZ002622,融钰集团
SH603977,国泰集团
SH600560,金自天正
SZ002636,金安国纪
SH603311,金海环境
SH600793,宜宾纸业
SH600217,中再资环
SH603089,正裕工业
SZ300294,博雅生物
SZ002264,新华都
SZ300166,东方国信
SH600468,百利电气
SZ000793,华闻集团
SZ000810,创维数字
SH603813,原尚股份
SH603507,振江股份
SH603507,振江股份
SZ002580,圣阳股份
SH603399,吉翔股份
SH688228,开普云
SH900927,物贸B股
SZ000532,华金资本
SH600847,万里股份
SZ002971,和远气体
SH600798,宁波海运
SZ300473,德尔股份
SZ000688,国城矿业
SH600495,晋西车轴
SH600828,茂业商业
SH601865,福莱特
SZ002194,武汉凡谷
SH600834,申通地铁
SH900918,耀皮B股
SH600741,华域汽车
SZ002786,银宝山新
SZ002866,传艺科技
SH601225,陕西煤业
SH600802,福建水泥
SH600838,上海九百
SH600425,青松建化
SH600103,青山纸业
SZ002552,宝鼎科技
SH603368,柳药股份
SH600633,浙数文化
SH603822,嘉澳环保
SH601015,陕西黑猫
SZ300032,金龙机电
SH600814,杭州解百
SH600667,太极实业
SH601058,赛轮轮胎
SZ002634,棒杰股份
SH600637,东方明珠
SZ002989,中天精装
SZ300775,三角防务
SH600691,阳煤化工
SH688020,方邦股份
SZ000616,海航投资
SH600966,博汇纸业
SH600206,有研新材
SZ002107,沃华医药
SH600716,凤凰股份
SH603103,横店影视
SZ000622,恒立实业
SZ000635,英力特
SH600054,黄山旅游
SZ300247,融捷健康
SZ002750,龙津药业
SZ000719,中原传媒
SZ002767,先锋电子
SH603739,蔚蓝生物
SH600009,上海机场
SZ002586,*ST围海
SZ002199,东晶电子
SZ002962,五方光电
SH600279,重庆港九
SZ002700,ST浩源
SZ300793,佳禾智能
SZ300164,通源石油
SZ002411,延安必康
SZ000768,中航飞机
SZ300264,佳创视讯
SH603200,上海洗霸
SZ000977,浪潮信息
SH600588,用友网络
SZ002564,天沃科技
SH600389,江山股份
SZ002238,天威视讯
SZ000687,*ST华讯
SH600816,*ST安信
SH600753,东方银星
SH603700,宁水集团
SH601086,国芳集团
SH600173,卧龙地产
SZ002968,新大正
SH603006,联明股份
SZ002213,大为股份
SZ002003,伟星股份
SZ002884,凌霄泵业
SZ300745,欣锐科技
SZ002922,伊戈尔
SZ002268,卫士通
SZ300660,江苏雷利
SZ000541,佛山照明
SZ002224,三力士
SH600444,国机通用
SH600708,光明地产
SH600410,华胜天成
SZ002065,东华软件
SZ000708,中信特钢
SH600810,神马股份
SZ300564,筑博设计
SH603106,恒银科技
SH603117,万林物流
SZ000517,荣安地产
SH600461,洪城水业
SH603398,邦宝益智
SZ000159,国际实业
SZ300389,艾比森
SZ300864,南大环境
SZ002667,鞍重股份
SZ000070,特发信息
SH601678,滨化股份
SZ002390,信邦制药
SH688128,中国电研
SZ002058,威尔泰
SH603045,福达合金
SZ002550,千红制药
SH600962,国投中鲁
SH603156,养元饮品
SH600611,大众交通
SZ002154,报喜鸟
SH603966,法兰泰克
SH600640,号百控股
SZ300069,金利华电
SZ000151,中成股份
SH600152,维科技术
SZ002252,上海莱士
SZ000530,冰山冷热
SH600538,国发股份
SH600601,方正科技
SZ000702,正虹科技
SZ300383,光环新网
SH601212,白银有色
SZ002295,精艺股份
SZ002721,金一文化
SH603090,宏盛股份
SZ000958,东方能源
SH605318,法狮龙
SZ002008,大族激光
SH600620,天宸股份
SZ002015,协鑫能科
SZ000783,长江证券
SH600079,人福医药
